 format: day,hour,forecast,value  location:102_83 Start : 20201201 
 1,0200,+4,356.000000 
 1,0200,+7,335.000000 
 1,0200,+10,328.000000 
 1,0200,+13,326.000000 
 1,0200,+16,329.000000 
 1,0200,+19,331.000000 
 1,0200,+22,346.000000 
 1,0200,+25,339.000000 
 1,0200,+28,317.000000 
 1,0200,+31,320.000000 
 1,0200,+34,319.000000 
 1,0200,+37,319.000000 
 1,0200,+40,318.000000 
 1,0200,+43,322.000000 
 1,0200,+46,319.000000 
 1,0200,+49,315.000000 
 1,0200,+52,315.000000 
 1,0200,+55,311.000000 
 1,0200,+58,314.000000 
 1,0200,+61,317.000000 
 1,0500,+4,335.000000 
 1,0500,+7,328.000000 
 1,0500,+10,326.000000 
 1,0500,+13,329.000000 
 1,0500,+16,331.000000 
 1,0500,+19,346.000000 
 1,0500,+22,339.000000 
 1,0500,+25,317.000000 
 1,0500,+28,320.000000 
 1,0500,+31,319.000000 
 1,0500,+34,319.000000 
 1,0500,+37,318.000000 
 1,0500,+40,322.000000 
 1,0500,+43,319.000000 
 1,0500,+46,315.000000 
 1,0500,+49,315.000000 
 1,0500,+52,311.000000 
 1,0500,+55,314.000000 
 1,0500,+58,317.000000 
 1,0800,+4,333.000000 
 1,0800,+7,331.000000 
 1,0800,+10,331.000000 
 1,0800,+13,330.000000 
 1,0800,+16,346.000000 
 1,0800,+19,9.000000 
 1,0800,+22,348.000000 
 1,0800,+25,320.000000 
 1,0800,+28,316.000000 
 1,0800,+31,317.000000 
 1,0800,+34,317.000000 
 1,0800,+37,316.000000 
 1,0800,+40,317.000000 
 1,0800,+43,318.000000 
 1,0800,+46,312.000000 
 1,0800,+49,309.000000 
 1,0800,+52,311.000000 
 1,0800,+55,316.000000 
 1,1100,+4,331.000000 
 1,1100,+7,331.000000 
 1,1100,+10,330.000000 
 1,1100,+13,346.000000 
 1,1100,+16,9.000000 
 1,1100,+19,348.000000 
 1,1100,+22,320.000000 
 1,1100,+25,316.000000 
 1,1100,+28,317.000000 
 1,1100,+31,317.000000 
 1,1100,+34,316.000000 
 1,1100,+37,317.000000 
 1,1100,+40,318.000000 
 1,1100,+43,312.000000 
 1,1100,+46,309.000000 
 1,1100,+49,311.000000 
 1,1100,+52,316.000000 
 1,1400,+4,331.000000 
 1,1400,+7,330.000000 
 1,1400,+10,346.000000 
 1,1400,+13,9.000000 
 1,1400,+16,348.000000 
 1,1400,+19,320.000000 
 1,1400,+22,316.000000 
 1,1400,+25,317.000000 
 1,1400,+28,317.000000 
 1,1400,+31,316.000000 
 1,1400,+34,317.000000 
 1,1400,+37,318.000000 
 1,1400,+40,312.000000 
 1,1400,+43,309.000000 
 1,1400,+46,311.000000 
 1,1400,+49,316.000000 
 1,1700,+4,330.000000 
 1,1700,+7,346.000000 
 1,1700,+10,9.000000 
 1,1700,+13,348.000000 
 1,1700,+16,320.000000 
 1,1700,+19,316.000000 
 1,1700,+22,317.000000 
 1,1700,+25,317.000000 
 1,1700,+28,316.000000 
 1,1700,+31,317.000000 
 1,1700,+34,318.000000 
